Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;CN;;Oil, gas & coal;17.01.2007;Total did not respond to: Labor groups raise concerns about positions of multinational & their business organizations regarding China’s proposed labour law reform;China labour law reform;Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/total-did-not-respond-to-labor-groups-raise-concerns-about-positions-of-multinational-their-business-organizations-regarding-chinas-proposed-labour-law-reform/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MA;;Oil, gas & coal;19.12.2012;Response by Total: NGO letter to Total urging it not to renew oil reconnaissance & evaluation licence in occupied Western Sahara.;NGO letter to Total urging it not to renew oil reconnaissance & evaluation licence in occupied Western Sahara;;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-total-ngo-letter-to-total-urging-it-not-to-renew-oil-reconnaissance-evaluation-licence-in-occupied-western-sahara/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;23.02.2005;Response by Total: Total’s presence in Burma fuelling human rights abuses, says new report – 40 organisations in 18 countries call on Total to quit the country.;Campaign supported by 40 organisations calls on Total to quit Burma;;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-total-totals-presence-in-burma-fuelling-human-rights-abuses-says-new-report-40-organisations-in-18-countries-call-on-total-to-quit-the-country/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;10.03.2007;Response by Total: Total's lobbying weakens EU stance on Burma sanctions, says Member of European Parliament Geoffrey Van Orden;;Divestment|Sanctions;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-total-totals-lobbying-weakens-eu-stance-on-burma-sanctions-says-member-of-european-parliament-geoffrey-van-orden/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;10.10.2007;"Total did not respond to: Sir Geoffrey Chandler: ""Total's response to criticisms of its presence in Burma is in the worst tradition of corporate irresponsibility"".";"Sir Geoffrey Chandler: ""Total’s response to criticisms of its presence in Burma is in the worst tradition of corporate irresponsibility""";;No;;https://www.business-humanrights.org/en/latest-news/total-did-not-respond-to-sir-geoffrey-chandler-totals-response-to-criticisms-of-its-presence-in-burma-is-in-the-worst-tradition-of-corporate-irresponsibility/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;04.11.2009;Response by Total: Two EarthRights reports accuse Chevron & Total's Yadana pipeline of links to forced labour & killings, undermining sanctions.;Burma: Two EarthRights reports accuse Chevron & Total's Yadana pipeline of links to forced labour & killings, undermining sanctions, also cites banks OCBC, DBS;;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-total-two-earthrights-reports-accuse-chevron-totals-yadana-pipeline-of-links-to-forced-labour-killings-undermining-sanctions/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;26.05.2010;Response by Total: Mary Robinson and 167 other individuals & organizations call on Chevron, PTTEP, Total to practice revenue transparency in Burma;Call for oil firms Total, Chevron, PTTEP to practice revenue transparency by publishing payments made to Burma;Payments to governments|Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-total-mary-robinson-and-167-other-individuals-organizations-call-on-chevron-pttep-total-to-practice-revenue-transparency-in-burma/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;19.01.2011;Response by Total: EarthRights says Norwegian Govt. complicit in abuses in Burma through investment in oil companies operating there including Total;"EarthRights says Norway ""complicit"" in human rights abuses in Burma through its investment in oil firms operating there";Complicity|Killings|Labour Rights|Land Rights;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-total-earthrights-says-norwegian-govt-complicit-in-abuses-in-burma-through-investment-in-oil-companies-operating-there-including-total/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;JP;;Automobile & other motor vehicles;02.07.2008;Response by Toyota: National Labor Committee report accuses Toyota of labour abuses in own operations & supply chain.;National Labor Committee report accuses Toyota of labour abuses in own operations & supply chain;Labour Rights|Migrants & Immigrants|Personal Health;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-toyota-national-labor-committee-report-accuses-toyota-of-labour-abuses-in-own-operations-supply-chain/;https://www.business-humanrights.org/en/companies/toyota/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;JP;;Automobile & other motor vehicles;24.03.2010;Response by Toyota: SOMO report says top 10 auto-makers allegedly failing to address supply chain conflict minerals;SOMO report on car manufacturers - company responses;Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-toyota-somo-report-says-top-10-auto-makers-allegedly-failing-to-address-supply-chain-conflict-minerals/;https://www.business-humanrights.org/en/companies/toyota/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;MM;;Automobile & other motor vehicles;11.03.2008;"Toyota did not respond to: Social investors ask whether Toyota can maintain its investments in Burma ""without supporting the military regime and its egregious abuses of human rights"".";"Social investors ask whether Toyota can maintain its investments in Burma ""without supporting the military regime and its egregious abuses of human rights"".";Complicity|Security Issues & Conflict Zones;No;;https://www.business-humanrights.org/en/latest-news/toyota-did-not-respond-to-social-investors-ask-whether-toyota-can-maintain-its-investments-in-burma-without-supporting-the-military-regime-and-its-egregious-abuses-of-human-rights/;https://www.business-humanrights.org/en/companies/toyota/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;MM;;Automobile & other motor vehicles;01.05.2014;Response by Toyota: re impact of industrial complex development in Myanmar;Myanmar: Thilawa Special Economic Zone – summary of impacts, company responses and updates;Adequate Living Standards|Displacement|Housing|Land Rights|Ownership of Property & Possessions;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-toyota-re-impact-of-industrial-complex-development-in-myanmar/;https://www.business-humanrights.org/en/companies/toyota/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;US;;Automobile & other motor vehicles;19.12.2012;Toyota did not respond to: Global Witness issues new call for more companies to clarify positions on conflict minerals lawsuit.;USA: Companies respond to lawsuit against SEC over final rule accompanying section 1502 of Dodd-Frank Act;Security Issues & Conflict Zones;No;;https://www.business-humanrights.org/en/latest-news/toyota-did-not-respond-to-global-witness-issues-new-call-for-more-companies-to-clarify-positions-on-conflict-minerals-lawsuit/;https://www.business-humanrights.org/en/companies/toyota/;;
UPS;Express delivery|Postal services;US;CN;;Express delivery;17.01.2007;UPS did not respond to: Labor groups raise concerns about positions of multinational & their business organizations regarding China’s proposed labour law reform;China labour law reform;Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/ups-did-not-respond-to-labor-groups-raise-concerns-about-positions-of-multinational-their-business-organizations-regarding-chinas-proposed-labour-law-reform/;https://www.business-humanrights.org/en/companies/ups/;;
UPS;Express delivery|Postal services;US;SD;;Express delivery;17.12.2012;UPS did not respond to: Olympic Dream for Darfur calls on Olympic corporate sponsors, including UPS, to raise Sudan concerns with Chinese Govt.;;Complicity|Displacement|Genocide|Ownership of Property & Possessions|Security Issues & Conflict Zones;No;;https://www.business-humanrights.org/en/latest-news/ups-did-not-respond-to-olympic-dream-for-darfur-calls-on-olympic-corporate-sponsors-including-ups-to-raise-sudan-concerns-with-chinese-govt/;https://www.business-humanrights.org/en/companies/ups/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Mining|Oil, gas & coal;09.03.2014;Response by Vale: FIDH report on redress for corporate human rights abuses;"FIDH Briefing Paper on business & human rights ""Enhancing Standards and Ensuring Redress"" (2014)";Access to Information|Adequate Living Standards|Child labour|Clean, Healthy & Sustainable Environment|Housing|Labour Rights|Lawsuits & regulatory action|Personal Health;Yes;Vale;https://www.business-humanrights.org/en/latest-news/response-by-vale-fidh-report-on-redress-for-corporate-human-rights-abuses/;https://www.business-humanrights.org/en/companies/vale/;;
Volkswagen;Automobile & other motor vehicles;DE;DE;;Automobile & other motor vehicles;31.03.2010;Response by Volkswagen: SOMO report says top 10 auto-makers allegedly failing to address supply chain conflict minerals.;SOMO report on car manufacturers - company responses;Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-volkswagen-somo-report-says-top-10-auto-makers-allegedly-failing-to-address-supply-chain-conflict-minerals/;https://www.business-humanrights.org/en/companies/volkswagen/;;
Volkswagen;Automobile & other motor vehicles;DE;SD;;Automobile & other motor vehicles;12.12.2007;Response by Volkswagen: Olympic Dream for Darfur calls on Olympic corporate sponsors, including Volkswagen, to raise Sudan concerns with Chinese Govt.;;Complicity|Displacement|Genocide|Ownership of Property & Possessions|Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-volkswagen-olympic-dream-for-darfur-calls-on-olympic-corporate-sponsors-including-volkswagen-to-raise-sudan-concerns-with-chinese-govt/;https://www.business-humanrights.org/en/companies/volkswagen/;;
Glencore|Xstrata (now part of Glencore);Metals & steel|Mining|Oil, gas & coal;CH;PE;;Mining;22.08.2012;Response by Xstrata (part of Glencore Xstrata): Environmental monitoring of Xstrata Tintaya copper mine shows contaminants in water & soil samples.;Defensores de derecho a la tierra cada vez más son objeto de medidas represivas, dice el Observatorio;Clean, Healthy & Sustainable Environment;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-xstrata-part-of-glencore-xstrata-environmental-monitoring-of-xstrata-tintaya-copper-mine-shows-contaminants-in-water-soil-samples/;https://www.business-humanrights.org/en/companies/glencore/|https://www.business-humanrights.org/en/companies/xstrata-part-of-glencore/;;
Zijin Mining;Metals & steel|Mining;CN;PE;;Mining;13.04.2011;Zijin did not respond to: New film pm 2009 violence, killings at Zijin Mining’s Rio Blanco project;Zijin Mining's Rio Blanco project -- reports on conflict & company responses, Apr 2011;Chinese Overseas Investment|Violence;No;;https://www.business-humanrights.org/en/latest-news/zijin-did-not-respond-to-new-film-pm-2009-violence-killings-at-zijin-minings-rio-blanco-project/;https://www.business-humanrights.org/en/companies/zijin-mining/;;
Nestlé;Food & beverage;CH;;;Food & beverage;30.06.2014;Nestlé response re attack on trade union member in Colombia;Colombia: Nestlé trade union leader with govt. protection measures suffers armed attack;;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-re-attack-on-trade-union-member-in-colombia/;https://www.business-humanrights.org/en/companies/nestlé/;;
Nestlé;Food & beverage;CH;CO;;;01.07.2014;Respuesta de Nestlé al atentado contra sindicalista;Colombia: Sindicato Nacional de la Industria de Alimentos denuncia ataque a líder sindical de Nestlé;Death threats|Freedom of Association|Injuries|Intimidation|Killings|Labour Rights|Violence;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/respuesta-de-nestlé-al-atentado-contra-sindicalista/;https://www.business-humanrights.org/en/companies/nestlé/;;
Nestlé;Food & beverage;CH;CH;;;01.07.2014;Réponse de Nestlé a l'attentat contre un syndicaliste;Colombie : Attentat contre un syndicaliste de Nestlé qui était protégé par le gouvernement;;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/réponse-de-nestlé-a-lattentat-contre-un-syndicaliste/;https://www.business-humanrights.org/en/companies/nestlé/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;;;;05.07.2014;[PDF] Glencore's response;Colombia: Report by NGO PAX alleges that Drummond, Prodeco (part of Glencore) supported right-wing paramilitaries;;Yes;Glencore Xstrata;https://www.business-humanrights.org/en/latest-news/pdf-glencores-response/;https://www.business-humanrights.org/en/companies/glencore/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;;12.08.2014;Shell's response;UK: CORE launches manifesto setting out recommendations for political leadership on corporate accountability;;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shells-response/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;KH;;;22.09.2014;H&M response;H&M urged to show leadership on living wage in Cambodia as garment workers demand increase in minimum wage;Living Wage;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-2/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;;;;22.09.2014;Réponse d'H&M;"Cambodge : Peuples Solidaires appelle H&M à verser un salaire décent aux ouvriers de l’industrie textile; comprend une réponse de l’entreprise";;Yes;H&M;https://www.business-humanrights.org/en/latest-news/réponse-dhm/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;;;;29.10.2014;Total response;Pinocchio Awards;;Yes;Total;https://www.business-humanrights.org/en/latest-news/total-response/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;;;;29.10.2014;Réponse de Total;"Des ONG organisent les prix Pinocchio qui dénoncent le décalage entre le discours des multinationales sur leurs impacts sociaux et environnementaux et la pratique; les entreprises répondent";;Yes;Total;https://www.business-humanrights.org/en/latest-news/réponse-de-total/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;;31.10.2014;Shell response;Pinocchio Awards;;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-3/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;;31.10.2014;Réponse de Shell;"Des ONG organisent les prix Pinocchio qui dénoncent le décalage entre le discours des multinationales sur leurs impacts sociaux et environnementaux et la pratique; les entreprises répondent";;Yes;Shell;https://www.business-humanrights.org/en/latest-news/réponse-de-shell/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Rio Tinto;Mining;GB;ID;;Mining;17.11.2014;Rio Tinto's response;Indonesia: IndustriALL calls on Rio Tinto to publicly state what it will do to end worker deaths at Grasberg mine;Deaths|Personal Health;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-3/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;AR|CO;;Mining;01.12.2014;Glencore response;6 companies nominated for Public Eye Award due to concerns about social & environmental impacts;Clean, Healthy & Sustainable Environment|Displacement|Freedom of Association|Intimidation|Ownership of Property & Possessions|Personal Health|Tax avoidance & evasion;Yes;;https://www.business-humanrights.org/en/latest-news/glencore-response/;https://www.business-humanrights.org/en/companies/glencore/;;
Rio Tinto;Mining;GB;ID;;Mining;05.12.2014;Rio Tinto has nothing further to add to its previous response;Indonesia: IndustriALL calls on Rio Tinto to publicly state what it will do to end worker deaths at Grasberg mine;Deaths|Personal Health;No;;https://www.business-humanrights.org/en/latest-news/rio-tinto-has-nothing-further-to-add-to-its-previous-response/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;;30.12.2014;Shell's response;"Nigeria: NGO alleges Shell has hijacked implementation of the United Nations Environmental Programme (UNEP) oil spill report; includes Shell's response";;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shells-response-2/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;;;;11.01.2015;[PDF] Vale’s Response;"Report by ECA Watch says projects supported by export credit agencies ""often associated with human rights abuses""";;Yes;Vale;https://www.business-humanrights.org/en/latest-news/pdf-vales-response/;https://www.business-humanrights.org/en/companies/vale/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;;;;11.01.2015;[PDF] Resposta da Vale;"Report by ECA Watch says projects supported by export credit agencies ""often associated with human rights abuses""";;Yes;Vale;https://www.business-humanrights.org/en/latest-news/pdf-resposta-da-vale/;https://www.business-humanrights.org/en/companies/vale/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;;;;20.01.2015;Response by Glencore;NGO Report on alleged human rights abuses & climate change impacts by operations of Emgesa, Glencore & Repsol in Peru and Colombia;;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/response-by-glencore/;https://www.business-humanrights.org/en/companies/glencore/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;;;;18.01.2015;Respuesta de Glencore;Colombia y Perú: Informe de ONG sobre cambio climático y supuestos abusos de derechos humanos causados por Emgesa, Glencore y Repsol;;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/respuesta-de-glencore/;https://www.business-humanrights.org/en/companies/glencore/;;
Rio Tinto;Mining;GB;;;;04.02.2015;Rio Tinto did not respond;Amnesty Intl. & Share Action call on Greater Manchester Pension Fund to scrutinise human rights records of companies they invest in;;No;;https://www.business-humanrights.org/en/latest-news/rio-tinto-did-not-respond/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Coca-Cola;Food & beverage;US;;;;01.03.2015;"Coca-Cola response to: ""Coca-Cola workers strike over low wages in Alexandria""";Egypt: Coca-Cola workers strike over low wages in Alexandria;;Yes;;https://www.business-humanrights.org/en/latest-news/coca-cola-response-to-coca-cola-workers-strike-over-low-wages-in-alexandria/;https://www.business-humanrights.org/en/companies/coca-cola/;;
Coca-Cola;Food & beverage;US;AZ;;Major Sporting Events|Sports teams, clubs & leagues;17.03.2015;Coca-Cola response re sponsorship of Baku 2015;Civil society organizations urge sponsors of Baku 2015 to consider human rights impacts;Freedom of Expression;Yes;;https://www.business-humanrights.org/en/latest-news/coca-cola-response-re-sponsorship-of-baku-2015/;https://www.business-humanrights.org/en/companies/coca-cola/;;
Inditex;Clothing & textile|Footwear|Retail;ES;;;;22.03.2015;Inditex Response;Bangladesh: Labour rights abuses & violations reported at factory supplying to Inditex & LC Waikiki, responses included from companies;;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/inditex-response-2/;https://www.business-humanrights.org/en/companies/inditex/;;
China National Petroleum Corporation (CNPC);Oil, gas & coal;CN;MM;;;26.03.2015;中石油没有作出回应;缅甸：中石油被指强行征收缅甸Myaday岛上村民土地;Displacement|Land Rights|Ownership of Property & Possessions;No;;https://www.business-humanrights.org/en/latest-news/中石油没有作出回应/;https://www.business-humanrights.org/en/companies/china-national-petroleum-corporation-cnpc/;;
China National Petroleum Corporation (CNPC);Oil, gas & coal;CN;MM;;;26.03.2015;中石油沒有作出回應;缅甸：中石油被指强行征收缅甸Myaday岛上村民土地;Displacement|Land Rights|Ownership of Property & Possessions;No;;https://www.business-humanrights.org/en/latest-news/中石油沒有作出回應-2/;https://www.business-humanrights.org/en/companies/china-national-petroleum-corporation-cnpc/;;
Coca-Cola;Food & beverage;US;;;;14.04.2015;Coca-Cola response;Oxfam's Behind the Brands scorecard finds top 10 food companies improve policies but need implementation;;Yes;Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-response-2/;https://www.business-humanrights.org/en/companies/coca-cola/;;
Nestlé;Food & beverage;CH;;;;13.04.2015;Nestlé response;Oxfam's Behind the Brands scorecard finds top 10 food companies improve policies but need implementation;;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-2/;https://www.business-humanrights.org/en/companies/nestlé/;;
PepsiCo;Food & beverage;US;;;;14.04.2015;PepsiCo response;Oxfam's Behind the Brands scorecard finds top 10 food companies improve policies but need implementation;;Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/pepsico-response-3/;https://www.business-humanrights.org/en/companies/pepsico/;;
Rio Tinto;Mining;GB;;;;05.05.2015;Rio Tinto's response;Union report on Rio Tinto alleges serious worker & community rights abuses;;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-4/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;;;;06.05.2015;Resposta da Vale a ativistas que se opõem ao carvão;Mulheres de organizações de base da África Austral protestam contra os impactos negativos sociais, ambientais e sobre a saúde provocados por empresas carvoeiras, Sasol e Vale comentam;;Yes;Vale;https://www.business-humanrights.org/en/latest-news/resposta-da-vale-a-ativistas-que-se-opõem-ao-carvão/;https://www.business-humanrights.org/en/companies/vale/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;;;;06.05.2015;Vale's response to activists opposed to big coal;Southern African grassroots women protest coal companies' negative social, health, environmental impacts, Sasol and Vale respond;;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vales-response-to-activists-opposed-to-big-coal/;https://www.business-humanrights.org/en/companies/vale/;;
Rio Tinto;Mining;GB;;;;15.05.2015;Rio Tinto response;Union report on Rio Tinto alleges serious worker & community rights abuses;;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tinto-response/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;;26.05.2015;Shell response;Guardian investigation raises concerns that Shell's climate change rhetoric is not matched with action;;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-4/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Inditex;Clothing & textile|Footwear|Retail;ES;BR|PK;;;27.05.2015;Inditex response;Brasil: Repórter Brasil celebra 15 anos de luta contra trabalho escravo, expondo empresas que se beneficiam da exploração do trabalhador & meio ambiente;Child labour|Other Discrimination|Supply Chains;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/inditex-response-3/;https://www.business-humanrights.org/en/companies/inditex/;;
Coca-Cola;Food & beverage;US;;;;27.05.2015;Coca-Cola response;Companies asked to respond to questions on their sponsorship of FIFA and human rights;;Yes;Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-response-3/;https://www.business-humanrights.org/en/companies/coca-cola/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;;;;27.05.2015;adidas response;Companies asked to respond to questions on their sponsorship of FIFA and human rights;;Yes;adidas Group;https://www.business-humanrights.org/en/latest-news/adidas-response/;https://www.business-humanrights.org/en/companies/adidas/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;19.05.2015;Shell Petroleum Development Company response;"Nigeria: Amnesty Intl. warns investors Shell's profit statement does not count ""true cost"" of Niger Delta oil spills";Access to Information|Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights;Yes;Shell Petroleum Development Company;https://www.business-humanrights.org/en/latest-news/shell-petroleum-development-company-response/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Inditex|Zara (part of Inditex);Clothing & textile|Footwear|Retail;ES;PK;;Clothing & textile;27.05.2015;Respuesta de Inditex;Líder pakistaní contra la esclavitud alega trabajo infantil en la producción de Zara en Asia;Child labour|Supply Chains;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/respuesta-de-inditex/;https://www.business-humanrights.org/en/companies/inditex/|https://www.business-humanrights.org/en/companies/zara-part-of-inditex/;;
Inditex;Clothing & textile|Footwear|Retail;ES;KH;;Clothing & textile;01.06.2015;Cambodia: Inditex response to Human Rights Now report;Cambodia: NGO fact finding mission documents exploitative working conditions at garment factories supplying intl. brands;Labour Rights;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/cambodia-inditex-response-to-human-rights-now-report/;https://www.business-humanrights.org/en/companies/inditex/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;KH;;Clothing & textile;01.06.2015;Cambodia: H&M response to Human Rights Now report;Cambodia: NGO fact finding mission documents exploitative working conditions at garment factories supplying intl. brands;Labour Rights;Yes;H&M;https://www.business-humanrights.org/en/latest-news/cambodia-hm-response-to-human-rights-now-report/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Inditex;Clothing & textile|Footwear|Retail;ES;BR;;;27.05.2015;Resposta da Inditex;Brasil: Apesar dos avanços, ONGs dizem que Zara precisa fazer mais para respeitar os compromissos de acabar e prevenir o trabalho forçado, empresa comenta;Labour Rights|Migrants & Immigrants|Supply Chains;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/resposta-da-inditex/;https://www.business-humanrights.org/en/companies/inditex/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;;;;04.06.2015;Réponse de Total;"2 ONG accusent Total d’impacts négatifs sur les populations locales et le climat; l’entreprise répond";;Yes;Total;https://www.business-humanrights.org/en/latest-news/réponse-de-total-2/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
BHP;Mining|Oil, gas & coal;AU;;;;30.06.2015;BHP Billiton response;"Indonesia: Kalimantan villagers file customary land rights claim for area within BHP Billiton's IndoMet coal mine; BHP responds";;Yes;BHP Billiton;https://www.business-humanrights.org/en/latest-news/bhp-billiton-response-2/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;;;;06.07.2015;Response by Glencore;"Trade unions raise labour & human rights concerns about Glencore’s global operations; Glencore responds";;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/response-by-glencore-2/;https://www.business-humanrights.org/en/companies/glencore/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;;;;07.07.2015;Respuesta de Glencore;"Suiza: Sindicatos plantean situación de derechos humanos y laborales en las operaciones mundiales de Glencore; la empresa responde";;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/respuesta-de-glencore-2/;https://www.business-humanrights.org/en/companies/glencore/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;;;;08.07.2015;adidas Group response on minimum wage in Myanmar;Myanmar govt. proposes daily minimum wage of 3,600 kyats, factories call for lower pay, unions & workers protest - includes statements by intl. brands;;Yes;adidas Group;https://www.business-humanrights.org/en/latest-news/adidas-group-response-on-minimum-wage-in-myanmar/;https://www.business-humanrights.org/en/companies/adidas/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;;;;08.07.2015;H&M response on minimum wage in Myanmar;"Myanmar: Regierungsverhandlungen über täglichen Mindestlohn; inkl. Stellungnahmen";;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response-on-minimum-wage-in-myanmar/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
ExxonMobil;Oil, gas & coal;US;;;Oil, gas & coal;28.07.2015;ExxonMobil’s response;"Union of Concerned Scientists report says fossil fuel industry ""knowingly worked to deceive public about realities & risks of climate change""";;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobils-response/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;Oil, gas & coal;28.07.2015;Shell did not respond;"Union of Concerned Scientists report says fossil fuel industry ""knowingly worked to deceive public about realities & risks of climate change""";;No;;https://www.business-humanrights.org/en/latest-news/shell-did-not-respond-2/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;;;;19.08.2015;Vale's response to the Unsustainability Report 2015;"Brazil: Affected by Vale launch report on allegations of human rights abuses by the mining company; Vale responds";;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vales-response-to-the-unsustainability-report-2015/;https://www.business-humanrights.org/en/companies/vale/;;
